"date","Ws_hourly_avg","co","pm10","T_met","visib_met","press_met"
2003-01-01 08:00:00,0,0,0,0,0,0
2003-01-01 16:00:00,0,0,0,0,0,0
2003-01-02 00:00:00,0,0,0,0,0,0
2003-01-02 08:00:00,0,0,0,0,0,0
2003-01-02 16:00:00,0,0,0,0,0,0
2003-01-03 00:00:00,0,0,0,0,0,0
2003-01-03 08:00:00,0,0,0,0,0,0
2003-01-03 16:00:00,0,0,0,0,0,0
2003-01-04 00:00:00,0,0,0,0,0,0
2003-01-04 08:00:00,0,0,0,0,0,0
2003-01-04 16:00:00,0,0,0,0,0,0
2003-01-05 00:00:00,0,0,0,0,0,0
2003-01-05 08:00:00,0,0,0,0,0,0
2003-01-05 16:00:00,0,0,0,0,0,0
2003-01-06 00:00:00,0,0,0,0,0,0
2003-01-06 08:00:00,0,0,0,0,0,0
2003-01-06 16:00:00,0,0,0,0,0,0
2003-01-07 00:00:00,0,0,0,0,0,0
2003-01-07 08:00:00,0,0,0,0,0,0
2003-01-07 16:00:00,0,0,0,0,0,0
2003-01-08 00:00:00,0,0,0,0,0,0
2003-01-08 08:00:00,0,0,0,0,0,0
2003-01-08 16:00:00,0,0,0,0,0,0
2003-01-09 00:00:00,0,0,0,0,0,0
2003-01-09 08:00:00,0,0,0,0,0,0
2003-01-09 16:00:00,0,0,0,0,0,0
2003-01-10 00:00:00,0,0,0,0,0,0
2003-01-10 08:00:00,0,0,0,0,0,0
2003-01-10 16:00:00,0,0,0,0,0,0
2003-01-11 00:00:00,0,0,0,0,0,0
2003-01-11 08:00:00,0,0,0,0,0,0
2003-01-11 16:00:00,0,0,0,0,0,0
2003-01-12 00:00:00,0,0,0,0,0,0
2003-01-12 08:00:00,0,0,0,0,0,0
2003-01-12 16:00:00,0,0,0,0,0,0
2003-01-13 00:00:00,0,0,0,0,0,0
2003-01-13 08:00:00,0,0,0,0,0,0
2003-01-13 16:00:00,0,0,0,0,0,0
2003-01-14 00:00:00,0,0,0,0,0,0
2003-01-14 08:00:00,0,0,0,0,0,0
2003-01-14 16:00:00,0,0,0,0,0,0
2003-01-15 00:00:00,0,0,0,0,0,0
2003-01-15 08:00:00,0,0,0,0,0,0
2003-01-15 16:00:00,0,0,0,0,0,0
2003-01-16 00:00:00,0,0,0,0,0,0
2003-01-16 08:00:00,0,0,0,0,0,0
2003-01-16 16:00:00,0,0,0,0,0,0
2003-01-17 00:00:00,0,0,0,0,0,0
2003-01-17 08:00:00,0,0,0,0,0,0
2003-01-17 16:00:00,0,0,0,0,0,0
2003-01-18 00:00:00,0,0,0,0,0,0
2003-01-18 08:00:00,0,0,0,0,0,0
2003-01-18 16:00:00,0,0,0,0,0,0
2003-01-19 00:00:00,0,0,0,0,0,0
2003-01-19 08:00:00,0,0,0,0,0,0
2003-01-19 16:00:00,0,0,0,0,0,0
2003-01-20 00:00:00,0,0,0,0,0,0
2003-01-20 08:00:00,0,0,0,0,0,0
2003-01-20 16:00:00,0,0,0,0,0,0
2003-01-21 00:00:00,0,0,0,0,0,0
2003-01-21 08:00:00,0,0,0,0,0,0
2003-01-21 16:00:00,0,0,0,0,0,0
2003-01-22 00:00:00,0,0,0,0,0,0
2003-01-22 08:00:00,0,0,0,0,0,0
2003-01-22 16:00:00,0,0,0,0,0,0
2003-01-23 00:00:00,0,0,0,0,0,0
2003-01-23 08:00:00,0,0,0,0,0,0
2003-01-23 16:00:00,0,0,0,0,0,0
2003-01-24 00:00:00,5.9,0.61,63,31.1111111111111,5,0
2003-01-24 08:00:00,11.6,1.25,126,31.1111111111111,5.6,0
2003-01-24 16:00:00,12.9,1.2,106,27.2222222222222,7,0
2003-01-25 00:00:00,5.5,0.86,92,32.7777777777778,7,0
2003-01-25 08:00:00,9.2,1.27,92,31.1111111111111,7,0
2003-01-25 16:00:00,9.9,1.03,96,26.1111111111111,7,0
2003-01-26 00:00:00,5.4,0.99,78,31.1111111111111,7,0
2003-01-26 08:00:00,9.2,0.61,75,32.2222222222222,7,0
2003-01-26 16:00:00,10.5,1.08,81,27.2222222222222,7,0
2003-01-27 00:00:00,6.6,0.73,88,32.2222222222222,7,0
2003-01-27 08:00:00,8.8,1.06,99,32.2222222222222,7,0
2003-01-27 16:00:00,10.8,1.39,137,26.1111111111111,7,0
2003-01-28 00:00:00,7,1.34,137,33.8888888888889,7,0
2003-01-28 08:00:00,10.4,1.28,112,33.8888888888889,7,0
2003-01-28 16:00:00,11.7,1.07,80,26.1111111111111,7,0
2003-01-29 00:00:00,7.7,0.77,81,35,7,0
2003-01-29 08:00:00,10.4,1.19,83,32.7777777777778,7,0
2003-01-29 16:00:00,11.6,0.99,101,27.7777777777778,7,0
2003-01-30 00:00:00,8.1,0.79,66,33.8888888888889,7,0
2003-01-30 08:00:00,13.5,0.83,116,35,7,0
2003-01-30 16:00:00,11.6,0.7,82,27.7777777777778,7,0
2003-01-31 00:00:00,9.3,0.39,73,32.7777777777778,7,0
2003-01-31 08:00:00,8.9,0.63,88,30,7,0
2003-01-31 16:00:00,11.1,0.53,92,26.1111111111111,7,0
2003-02-01 00:00:00,4.6,0.91,148,31.1111111111111,7,0
2003-02-01 08:00:00,8.7,0,99,31.1111111111111,7,0
2003-02-01 16:00:00,11.1,0,80,26.1111111111111,7,0
2003-02-02 00:00:00,3.5,0,104,32.2222222222222,7,0
2003-02-02 08:00:00,11.1,0,86,31.1111111111111,7,0
2003-02-02 16:00:00,14.1,0,75,27.2222222222222,7,0
2003-02-03 00:00:00,4.6,0,77,32.2222222222222,7,0
2003-02-03 08:00:00,12.3,0,76,32.7777777777778,7,0
2003-02-03 16:00:00,13,0,70,26.1111111111111,7,0
2003-02-04 00:00:00,6.6,0,82,33.8888888888889,7,0
2003-02-04 08:00:00,15.6,0,98,33.8888888888889,7,0
2003-02-04 16:00:00,14.1,0,73,27.2222222222222,7,0
2003-02-05 00:00:00,6.8,0,75,33.8888888888889,7,0
2003-02-05 08:00:00,9,0,84,35,7,0
2003-02-05 16:00:00,13.2,0,88,27.2222222222222,7,0
2003-02-06 00:00:00,9,0,80,33.8888888888889,7,0
2003-02-06 08:00:00,10.3,0,102,35,7,0
2003-02-06 16:00:00,12.6,0,92,27.2222222222222,7,0
2003-02-07 00:00:00,7.6,0,69,32.2222222222222,7,0
2003-02-07 08:00:00,11.2,0,86,32.2222222222222,7,0
2003-02-07 16:00:00,13,0,104,27.2222222222222,7,0
2003-02-08 00:00:00,7.5,0,111,32.7777777777778,7,0
2003-02-08 08:00:00,9.3,0,159,32.7777777777778,7,0
2003-02-08 16:00:00,13.2,0,98,27.7777777777778,7,0
2003-02-09 00:00:00,5.7,0,130,32.2222222222222,7,0
2003-02-09 08:00:00,11.4,0,109,32.7777777777778,7,0
2003-02-09 16:00:00,14,0,97,26.1111111111111,7,0
2003-02-10 00:00:00,3.9,0,91,32.7777777777778,7,0
2003-02-10 08:00:00,13.2,0,115,32.7777777777778,7,0
2003-02-10 16:00:00,12.5,0,109,26.1111111111111,7,0
2003-02-11 00:00:00,5.6,0,112,32.7777777777778,7,0
2003-02-11 08:00:00,9.6,0,131,32.2222222222222,7,0
