USAF,WBAN,YR--MODAHRMN,DIR,SPD,GUS,CLG,SKC,L,M,H,VSB,MW,MW,MW,MW,AW,AW,AW,AW,W,TEMP,DEWP,SLP,ALT,STP,MAX,MIN,PCP01,PCP06,PCP24,PCPXX,SD
486010,99999,199501010000,20,7,***,148,BKN,1,3,2,6.2,5,**,**,**,**,**,**,**,2,77,67,1011.2,*****,1010.8,***,77,*****,*****,0,T*****,**
486010,99999,199501010300,40,11,***,148,BKN,4,4,2,7.5,5,**,**,**,**,**,**,**,2,83,68,1012.8,*****,1012.4,***,***,*****,*****,*****,*****,**
486010,99999,199501010600,120,6,***,148,BKN,2,4,2,8.8,5,**,**,**,**,**,**,**,2,89,71,1010.8,*****,1010.4,***,***,*****,0,*****,*****,**
486010,99999,199501010900,260,8,***,148,BKN,2,3,2,8.8,5,**,**,**,**,**,**,**,2,88,72,1008.7,*****,1008.3,***,***,*****,*****,*****,*****,**
486010,99999,199501011200,***,0,***,148,BKN,5,3,2,8.8,5,**,**,**,**,**,**,**,2,84,73,1009.7,*****,1009.3,91,***,*****,0,*****,*****,**
486010,99999,199501011500,20,6,***,138,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,81,73,1012.1,*****,1011.7,***,***,*****,*****,*****,*****,**
486010,99999,199501011800,40,7,***,138,BKN,5,3,2,7.5,**,**,**,**,**,**,**,**,*,81,70,1011.4,*****,1011,***,***,*****,0,*****,*****,**
486010,99999,199501012100,50,3,***,345,BKN,5,4,1,9.4,**,**,**,**,**,**,**,**,*,78,71,1010,*****,1009.2,***,***,*****,*****,*****,*****,**
486010,99999,199501020000,30,3,***,148,BKN,9,3,2,****,5,**,**,**,**,**,**,**,2,79,70,1010.9,*****,1010.5,***,77,*****,0,*****,*****,**
486010,99999,199501020300,50,6,***,148,BKN,1,4,2,5,5,**,**,**,**,**,**,**,2,85,73,1012,*****,1011.6,***,***,*****,*****,*****,*****,**
486010,99999,199501020600,220,6,***,148,BKN,2,4,2,7.5,5,**,**,**,**,**,**,**,2,87,74,1010.4,*****,1010,***,***,*****,0,*****,*****,**
486010,99999,199501020900,240,10,***,138,BKN,9,3,2,7.5,5,**,**,**,**,**,**,**,2,86,74,1008.1,*****,1007.7,***,***,*****,*****,*****,*****,**
486010,99999,199501021200,330,2,***,148,BKN,9,3,2,7.5,5,**,**,**,**,**,**,**,2,81,74,1009.1,*****,1008.7,88,***,*****,0,*****,*****,**
486010,99999,199501021500,***,0,***,148,BKN,5,4,2,7.5,**,**,**,**,**,**,**,**,*,79,76,1010.7,*****,1010.3,***,***,*****,*****,*****,*****,**
486010,99999,199501021800,***,0,***,148,BKN,5,4,2,9.4,**,**,**,**,**,**,**,**,*,76,74,1010.7,*****,1010.3,***,***,*****,0,*****,*****,**
486010,99999,199501022100,***,0,***,148,BKN,9,4,2,8.8,13,**,**,**,**,**,**,**,2,76,73,1009.3,*****,1008.9,***,***,*****,*****,*****,*****,**
486010,99999,199501030000,10,3,***,148,BKN,2,4,2,7.5,5,**,**,**,**,**,**,**,2,77,71,1010.6,*****,1010.2,***,74,*****,0,*****,*****,**
486010,99999,199501030300,10,10,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,85,69,1011.9,*****,1011.5,***,***,*****,*****,*****,*****,**
486010,99999,199501030600,140,3,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,90,71,1010.2,*****,1009.4,***,***,*****,0,*****,*****,**
486010,99999,199501030900,220,5,***,148,BKN,1,3,2,8.8,5,**,**,**,**,**,**,**,2,87,73,1008.3,*****,1007.9,***,***,*****,*****,*****,*****,**
486010,99999,199501031200,260,2,***,148,BKN,5,4,2,8.8,5,**,**,**,**,**,**,**,2,83,73,1009.2,*****,1008.8,90,***,*****,0,*****,*****,**
486010,99999,199501031500,***,0,***,148,BKN,5,4,2,8.8,**,**,**,**,**,**,**,**,*,81,73,1011.6,*****,1011.2,***,***,*****,*****,*****,*****,**
486010,99999,199501031800,340,1,***,148,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,80,75,1011.4,*****,1011,***,***,*****,0,*****,*****,**
486010,99999,199501032100,20,8,***,148,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,79,72,1009.9,*****,1009.5,***,***,*****,*****,*****,*****,**
486010,99999,199501040000,30,3,***,148,BKN,2,4,2,8.8,**,**,**,**,**,**,**,**,*,78,70,1011.1,*****,1010.7,***,78,*****,0,*****,*****,**
486010,99999,199501040300,60,11,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,85,71,1012.4,*****,1012,***,***,*****,*****,*****,*****,**
486010,99999,199501040600,180,3,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,89,72,1010.8,*****,1012.4,***,***,*****,0,*****,*****,**
486010,99999,199501040900,230,7,***,148,BKN,2,4,2,8.8,5,**,**,**,**,**,**,**,2,86,74,1008.8,*****,1008.4,***,***,*****,*****,*****,*****,**
486010,99999,199501041200,260,3,***,148,BKN,5,4,2,8.8,**,**,**,**,**,**,**,**,*,84,74,1010.4,*****,1010,89,***,*****,0,*****,*****,**
486010,99999,199501041500,***,0,***,148,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,82,76,1012.6,*****,1012.2,***,***,*****,*****,*****,*****,**
486010,99999,199501041800,***,0,***,138,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,79,76,1012,*****,1011.6,***,***,*****,0,*****,*****,**
486010,99999,199501042100,30,2,***,148,BKN,9,3,2,8.8,29,**,**,**,**,**,**,**,9,78,74,1010.3,*****,1009.9,***,***,*****,*****,*****,*****,**
486010,99999,199501050000,30,6,***,148,BKN,9,3,2,8.8,5,**,**,**,**,**,**,**,9,80,71,1011.7,*****,1011.3,***,78,*****,0,*****,*****,**
486010,99999,199501050300,80,5,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,88,74,1013.3,*****,1012.9,***,***,*****,*****,*****,*****,**
486010,99999,199501050600,230,8,***,148,BKN,9,3,2,8.8,5,**,**,**,**,**,**,**,2,89,76,1011.9,*****,1011.5,***,***,*****,0,*****,*****,**
486010,99999,199501050900,30,5,***,148,BKN,9,3,8,3.8,61,**,**,**,**,**,**,**,2,82,77,1009.8,*****,1009.4,***,***,*****,*****,*****,*****,**
486010,99999,199501051200,***,0,***,138,BKN,5,3,2,7.5,29,**,**,**,**,**,**,**,9,79,77,1011.7,*****,1011.3,89,***,*****,0.31,*****,*****,**
486010,99999,199501051500,***,0,***,148,BKN,5,4,2,8.8,**,**,**,**,**,**,**,**,*,78,77,1014.3,*****,1013.9,***,***,*****,*****,*****,*****,**
486010,99999,199501051800,30,7,***,138,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,79,73,1013.4,*****,1013,***,***,*****,0,*****,*****,**
486010,99999,199501052100,30,10,***,345,BKN,5,4,1,8.8,**,**,**,**,**,**,**,**,*,79,71,1011.2,*****,1010.8,***,***,*****,*****,*****,*****,**
486010,99999,199501060000,30,9,***,148,BKN,2,4,2,8.8,5,**,**,**,**,**,**,**,2,79,71,1012.9,*****,1012.5,***,76,*****,*****,0.31,*****,**
486010,99999,199501060300,40,7,***,148,BKN,2,4,2,8.8,5,**,**,**,**,**,**,**,2,85,72,1014.7,*****,1014.3,***,***,*****,*****,*****,*****,**
486010,99999,199501060600,40,11,***,148,BKN,2,4,2,8.8,5,**,**,**,**,**,**,**,2,88,72,1012.4,*****,1012,***,***,*****,0,*****,*****,**
486010,99999,199501060900,20,6,***,148,BKN,8,3,2,8.8,5,**,**,**,**,**,**,**,2,87,73,1010.2,*****,1009.8,***,***,*****,*****,*****,*****,**
486010,99999,199501061200,60,13,***,148,BKN,9,4,2,8.8,13,**,**,**,**,**,**,**,8,83,71,1012.3,*****,1011.9,91,***,*****,0,*****,*****,**
486010,99999,199501061500,30,7,***,148,BKN,5,3,2,8.8,13,**,**,**,**,**,**,**,2,81,69,1015.1,*****,1014.7,***,***,*****,*****,*****,*****,**
486010,99999,199501061800,40,11,***,148,BKN,5,4,2,7.5,**,**,**,**,**,**,**,**,*,79,68,1014.1,*****,1013.7,***,***,*****,0,*****,*****,**
486010,99999,199501062100,30,7,***,148,BKN,9,4,2,7.5,13,**,**,**,**,**,**,**,2,78,67,1012.9,*****,1012.5,***,***,*****,*****,*****,*****,**
486010,99999,199501070000,30,11,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,77,66,1014.1,*****,1013.7,***,76,*****,*****,0,*****,**
486010,99999,199501070300,30,13,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,82,68,1015,*****,1014.6,***,***,*****,*****,*****,*****,**
486010,99999,199501070600,50,13,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,89,66,1012.7,*****,1012.3,***,***,*****,0,*****,*****,**
486010,99999,199501070900,180,6,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,88,67,1011.1,*****,1010.7,***,***,*****,*****,*****,*****,**
486010,99999,199501071200,220,8,***,148,BKN,5,3,2,8.8,5,**,**,**,**,**,**,**,2,83,73,1012.9,*****,1012.5,91,***,*****,0,*****,*****,**
486010,99999,199501071500,20,6,***,148,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,80,69,1014,*****,1013.6,***,***,*****,*****,*****,*****,**
486010,99999,199501071800,20,10,***,138,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,79,68,1013.8,*****,1013.4,***,***,*****,0,*****,*****,**
486010,99999,199501072100,20,9,***,148,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,77,68,1012.3,*****,1011.9,***,***,*****,*****,*****,*****,**
486010,99999,199501080000,20,8,***,148,BKN,1,3,2,8.8,5,**,**,**,**,**,**,**,2,77,67,1013.3,*****,1012.9,***,77,*****,0,*****,*****,**
486010,99999,199501080300,30,10,***,148,BKN,1,4,2,8.8,5,**,**,**,**,**,**,**,2,82,69,1014.2,*****,1013.8,***,***,*****,*****,*****,*****,**
486010,99999,199501080600,40,11,***,138,BKN,2,3,2,10,5,**,**,**,**,**,**,**,2,87,70,1011.8,*****,1011.4,***,***,*****,0,*****,*****,**
486010,99999,199501080900,50,11,***,138,BKN,2,3,2,10,5,**,**,**,**,**,**,**,2,87,71,1009.8,*****,1009.4,***,***,*****,*****,*****,*****,**
486010,99999,199501081200,20,5,***,138,BKN,5,3,2,8.8,5,**,**,**,**,**,**,**,2,83,72,1011.1,*****,1010.7,89,***,*****,0,*****,*****,**
486010,99999,199501081500,350,5,***,148,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,80,70,1013.1,*****,1012.7,***,***,*****,*****,*****,*****,**
486010,99999,199501081800,20,8,***,138,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,80,72,1012.3,*****,1011.9,***,***,*****,0,*****,*****,**
486010,99999,199501082100,30,7,***,138,BKN,5,3,2,8.8,**,**,**,**,**,**,**,**,*,80,70,1011,*****,1010.6,***,***,*****,*****,*****,*****,**
486010,99999,199501090000,20,7,***,148,BKN,8,3,2,7.5,5,**,**,**,**,**,**,**,2,79,70,1011.9,*****,1011.5,***,78,*****,0,*****,*****,**
