,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0100,5.6   ,15    ,23.0  ,N/A  ,0.005   ,0.008   ,0.003   ,2.46    ,32      ,55    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0200,5.1   ,22    ,22.8  ,N/A  ,0.002   ,0.008   ,0.002   ,1.52    ,21      ,55    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0300,5.6   ,16    ,22.8  ,N/A  ,0.001   ,0.006   ,0.002   ,1.45    ,21      ,54    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0400,4.5   ,11    ,23.0  ,N/A  ,0.004   ,0.005   ,0.002   ,0.94    ,20      ,53    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0500,4.1   ,4     ,22.9  ,N/A  ,0.007   ,0.005   ,0.002   ,1.18    ,21      ,52    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0600,6.1   ,352   ,23.4  ,N/A  ,0.011   ,0.005   ,0.003   ,2.54    ,30      ,52    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0700,4.8   ,345   ,23.7  ,N/A  ,0.010   ,0.007   ,0.004   ,1.92    ,41      ,51    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0800,5.1   ,347   ,23.6  ,N/A  ,0.006   ,0.007   ,0.003   ,1.56    ,48      ,50    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,0900,5.4   ,356   ,24.1  ,N/A  ,0.006   ,0.008   ,0.005   ,1.60    ,38      ,49    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",20000101,1000,7.1   ,20    ,25.7  ,N/A  ,0.002   ,0.005   ,0.009   ,0.41    ,23      ,46    
