Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0100,5.9   ,52    ,23.4  ,N/A  ,0.002   ,0.012   ,N/A     ,1.15    ,37      ,60    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0200,4.2   ,44    ,23.3  ,N/A  ,0.003   ,0.013   ,N/A     ,1.37    ,43      ,59    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0300,2.8   ,8     ,23.2  ,N/A  ,0.002   ,0.010   ,N/A     ,0.96    ,29      ,57    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0400,2.3   ,331   ,23.1  ,N/A  ,0.002   ,0.010   ,N/A     ,0.99    ,34      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0500,2.3   ,340   ,22.8  ,N/A  ,0.003   ,0.007   ,N/A     ,0.68    ,41      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0600,2.4   ,360   ,22.7  ,N/A  ,0.003   ,0.007   ,N/A     ,0.66    ,29      ,54    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0700,2.8   ,39    ,22.8  ,N/A  ,0.002   ,0.009   ,N/A     ,0.90    ,40      ,52    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0800,4.4   ,52    ,22.6  ,N/A  ,0.003   ,0.009   ,N/A     ,1.14    ,46      ,51    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,0900,5.9   ,54    ,23.1  ,N/A  ,0.003   ,0.007   ,N/A     ,1.10    ,47      ,48    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1000,7.5   ,59    ,25.7  ,N/A  ,0.003   ,0.006   ,N/A     ,0.94    ,37      ,46    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1100,8.6   ,47    ,28.1  ,N/A  ,0.002   ,0.007   ,N/A     ,0.87    ,34      ,45    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1200,9.7   ,59    ,29.8  ,N/A  ,0.000   ,0.008   ,N/A     ,0.71    ,32      ,44    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1300,8.9   ,62    ,31.0  ,N/A  ,0.000   ,0.008   ,N/A     ,0.66    ,30      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1400,7.0   ,2     ,32.9  ,N/A  ,0.001   ,0.008   ,N/A     ,0.70    ,27      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1500,5.7   ,8     ,33.3  ,N/A  ,0.001   ,0.008   ,N/A     ,0.58    ,35      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1600,7.5   ,313   ,32.1  ,N/A  ,0.001   ,0.010   ,N/A     ,0.93    ,29      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1700,10.6  ,314   ,30.6  ,N/A  ,0.000   ,0.011   ,N/A     ,0.90    ,33      ,40    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1800,9.0   ,314   ,30.4  ,N/A  ,0.000   ,0.012   ,N/A     ,1.27    ,40      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,1900,8.4   ,70    ,27.9  ,N/A  ,0.002   ,0.010   ,N/A     ,1.35    ,49      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,2000,5.1   ,111   ,26.2  ,N/A  ,0.003   ,0.010   ,N/A     ,CAL     ,55      ,38    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,2100,2.3   ,174   ,26.3  ,N/A  ,CAL     ,0.010   ,N/A     ,2.15    ,49      ,38    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,2200,4.8   ,121   ,26.3  ,N/A  ,0.005   ,CAL     ,N/A     ,2.86    ,65      ,39    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,2300,3.1   ,102   ,25.9  ,N/A  ,0.007   ,0.011   ,CAL     ,2.87    ,83      ,41    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030101,2400,1.7   ,71    ,25.8  ,N/A  ,0.007   ,0.010   ,N/A     ,2.99    ,66      ,42    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0100,1.9   ,30    ,25.6  ,N/A  ,0.005   ,0.009   ,N/A     ,2.36    ,70      ,44    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0200,1.6   ,16    ,25.2  ,N/A  ,0.004   ,0.006   ,N/A     ,1.11    ,37      ,43    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0300,2.9   ,64    ,24.9  ,N/A  ,0.005   ,0.005   ,N/A     ,1.13    ,50      ,44    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0400,2.8   ,141   ,24.6  ,N/A  ,0.003   ,0.005   ,N/A     ,1.16    ,48      ,45    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0500,1.5   ,119   ,24.4  ,N/A  ,0.007   ,0.008   ,N/A     ,1.14    ,63      ,46    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0600,4.0   ,61    ,24.3  ,N/A  ,0.006   ,0.006   ,N/A     ,1.25    ,51      ,47    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0700,3.1   ,68    ,24.2  ,N/A  ,0.006   ,0.006   ,N/A     ,1.69    ,91      ,49    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0800,2.2   ,77    ,24.0  ,N/A  ,0.008   ,0.008   ,N/A     ,3.15    ,93      ,50    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,0900,3.6   ,51    ,26.6  ,N/A  ,0.008   ,0.011   ,N/A     ,2.91    ,87      ,51    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1000,4.1   ,62    ,30.6  ,N/A  ,0.005   ,0.008   ,N/A     ,1.09    ,49      ,51    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1100,8.5   ,62    ,32.1  ,N/A  ,0.002   ,0.008   ,N/A     ,0.62    ,51      ,52    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1200,5.9   ,38    ,33.4  ,N/A  ,0.001   ,0.007   ,N/A     ,0.38    ,49      ,52    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1300,6.9   ,29    ,32.5  ,N/A  ,0.004   ,0.011   ,N/A     ,0.55    ,64      ,53    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1400,10.2  ,263   ,32.5  ,N/A  ,0.014   ,0.011   ,N/A     ,0.53    ,55      ,53    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1500,11.6  ,197   ,31.5  ,N/A  ,0.014   ,0.008   ,N/A     ,0.49    ,55      ,54    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1600,12.2  ,127   ,28.5  ,N/A  ,0.004   ,0.017   ,N/A     ,0.95    ,50      ,54    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1700,8.0   ,106   ,29.0  ,N/A  ,0.004   ,0.022   ,N/A     ,1.15    ,84      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1800,10.7  ,51    ,28.2  ,N/A  ,0.002   ,0.017   ,N/A     ,1.27    ,67      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,1900,9.8   ,60    ,26.1  ,N/A  ,0.003   ,0.013   ,N/A     ,CAL     ,50      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,2000,6.3   ,47    ,24.6  ,N/A  ,CAL     ,0.012   ,N/A     ,1.55    ,56      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,2100,2.3   ,2     ,24.1  ,N/A  ,0.004   ,CAL     ,N/A     ,1.87    ,71      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,2200,2.8   ,60    ,24.2  ,N/A  ,0.004   ,0.014   ,CAL     ,1.77    ,49      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,2300,4.5   ,57    ,24.2  ,N/A  ,0.003   ,0.011   ,N/A     ,1.61    ,59      ,56    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030102,2400,4.0   ,46    ,24.3  ,N/A  ,0.003   ,0.009   ,N/A     ,1.40    ,47      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030103,0100,2.3   ,17    ,24.3  ,N/A  ,0.002   ,0.007   ,N/A     ,1.07    ,43      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030103,0200,2.3   ,45    ,24.1  ,N/A  ,0.002   ,0.005   ,N/A     ,0.84    ,44      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030103,0300,2.4   ,61    ,24.2  ,N/A  ,0.002   ,0.004   ,N/A     ,0.81    ,44      ,55    
CA0009,"Sek. Keb. Seberang Jaya II, Perai                                                                   ",20030103,0400,2.0   ,65    ,24.1  ,N/A  ,0.002   ,0.004   ,N/A     ,0.70    ,34      ,54    
