,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0100,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0200,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,CAL     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0300,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0400,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0500,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0600,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0700,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0800,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,0900,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1000,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1100,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1200,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1300,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1400,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1500,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1600,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1700,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1800,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,1900,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",19981101,2000,N/A   ,N/A   ,N/A   ,N/A  ,N/A     ,N/A     ,N/A     ,N/A     ,N/A     ,N/A   ,,
