,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,Nox_hourly_avg,No_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0100,3.8   ,1     ,24.3  ,N/A  ,0.021   ,0.013   ,0.002   ,0.008   ,0.001   ,0.65    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0200,4.5   ,7     ,23.8  ,N/A  ,0.027   ,0.020   ,0.002   ,0.008   ,0.002   ,0.66    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0300,4.5   ,3     ,23.9  ,N/A  ,0.027   ,0.019   ,0.002   ,0.009   ,0.001   ,0.72    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0400,4.1   ,340   ,23.7  ,N/A  ,0.016   ,0.012   ,0.001   ,0.004   ,0.002   ,0.27    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0500,4.9   ,340   ,23.5  ,N/A  ,0.013   ,0.010   ,0.001   ,0.003   ,0.003   ,0.22    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0600,7.8   ,347   ,24.1  ,N/A  ,0.005   ,0.003   ,0.001   ,0.002   ,0.009   ,0.01    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0700,6.9   ,351   ,24.0  ,N/A  ,0.005   ,0.003   ,0.001   ,0.002   ,0.009   ,0.06    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0800,6.9   ,346   ,24.1  ,N/A  ,0.008   ,0.006   ,0.001   ,0.002   ,0.007   ,0.10    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,0900,9.5   ,353   ,25.2  ,N/A  ,0.007   ,0.005   ,0.001   ,0.002   ,0.010   ,0.07    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1000,9.1   ,21    ,28.5  ,N/A  ,0.009   ,0.006   ,0.001   ,0.003   ,0.011   ,0.12    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1100,9.4   ,21    ,31.0  ,N/A  ,0.010   ,0.007   ,CAL     ,0.003   ,0.018   ,0.13    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1200,9.7   ,14    ,32.7  ,N/A  ,0.009   ,0.005   ,0.001   ,0.004   ,0.030   ,CAL     ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1300,6.8   ,17    ,34.7  ,N/A  ,CAL     ,CAL     ,0.001   ,CAL     ,0.033   ,0.19    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1400,5.7   ,21    ,33.4  ,N/A  ,0.007   ,0.005   ,0.001   ,0.002   ,CAL     ,0.03    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1500,6.7   ,212   ,35.4  ,N/A  ,0.006   ,0.005   ,0.001   ,0.001   ,0.040   ,0.03    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1600,7.8   ,265   ,34.9  ,N/A  ,0.007   ,0.005   ,0.001   ,0.002   ,0.032   ,0.05    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1700,8.1   ,261   ,32.7  ,N/A  ,0.009   ,0.005   ,0.001   ,0.004   ,0.031   ,0.10    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1800,7.5   ,263   ,27.7  ,N/A  ,0.010   ,0.005   ,0.001   ,0.006   ,0.020   ,0.19    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,1900,7.1   ,348   ,24.8  ,N/A  ,0.019   ,0.007   ,0.001   ,0.013   ,0.010   ,0.35    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,2000,6.8   ,352   ,23.8  ,N/A  ,0.017   ,0.009   ,0.001   ,0.009   ,0.006   ,0.29    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,2100,5.2   ,335   ,23.7  ,N/A  ,0.030   ,0.021   ,0.001   ,0.009   ,0.003   ,0.47    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,2200,3.8   ,324   ,23.9  ,N/A  ,0.036   ,0.029   ,0.001   ,0.007   ,0.002   ,0.59    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,2300,3.8   ,334   ,24.0  ,N/A  ,0.036   ,0.029   ,0.001   ,0.007   ,0.001   ,0.65    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000101,2400,4.7   ,338   ,24.0  ,N/A  ,0.024   ,0.015   ,0.001   ,0.010   ,0.003   ,0.43    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0100,4.5   ,342   ,23.8  ,N/A  ,0.017   ,0.011   ,0.001   ,0.007   ,0.003   ,0.27    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0200,4.4   ,333   ,23.9  ,N/A  ,0.009   ,0.005   ,0.000   ,0.005   ,0.006   ,0.11    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0300,3.2   ,332   ,24.0  ,N/A  ,0.007   ,0.004   ,0.000   ,0.004   ,0.005   ,0.13    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0400,2.5   ,311   ,23.8  ,N/A  ,0.007   ,0.005   ,0.000   ,0.003   ,0.003   ,0.16    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0500,4.2   ,320   ,23.7  ,N/A  ,0.004   ,0.004   ,0.000   ,0.001   ,0.005   ,0.06    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0600,4.3   ,321   ,23.5  ,N/A  ,0.007   ,0.005   ,0.001   ,0.003   ,0.004   ,0.16    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0700,4.3   ,337   ,23.4  ,N/A  ,0.010   ,0.007   ,0.001   ,0.004   ,0.004   ,0.20    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0800,4.6   ,339   ,23.6  ,N/A  ,0.012   ,0.008   ,0.001   ,0.005   ,0.005   ,0.28    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,0900,6.0   ,344   ,24.7  ,N/A  ,0.008   ,0.005   ,0.001   ,0.004   ,0.008   ,0.19    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1000,7.1   ,6     ,26.5  ,N/A  ,0.012   ,0.007   ,CAL     ,0.006   ,0.010   ,0.27    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1100,8.8   ,15    ,28.9  ,N/A  ,0.011   ,0.006   ,0.001   ,0.006   ,0.016   ,CAL     ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1200,11.6  ,6     ,31.9  ,N/A  ,CAL     ,CAL     ,0.001   ,CAL     ,0.026   ,0.28    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1300,11.9  ,13    ,33.1  ,N/A  ,0.008   ,0.005   ,0.001   ,0.004   ,CAL     ,0.18    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1400,8.5   ,36    ,34.0  ,N/A  ,0.006   ,0.005   ,0.000   ,0.002   ,0.028   ,0.07    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1500,8.2   ,19    ,33.1  ,N/A  ,0.008   ,0.005   ,0.000   ,0.004   ,0.025   ,0.07    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1600,6.0   ,239   ,30.6  ,N/A  ,0.010   ,0.005   ,0.001   ,0.006   ,0.023   ,0.18    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1700,5.8   ,203   ,28.5  ,N/A  ,0.013   ,0.005   ,0.001   ,0.009   ,0.019   ,0.28    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1800,4.7   ,211   ,28.0  ,N/A  ,0.012   ,0.004   ,0.001   ,0.009   ,0.018   ,0.36    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,1900,2.6   ,26    ,27.0  ,N/A  ,0.021   ,0.009   ,0.001   ,0.013   ,0.008   ,0.73    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,2000,2.2   ,333   ,26.2  ,N/A  ,0.033   ,0.016   ,0.003   ,0.018   ,0.003   ,1.01    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,2100,4.3   ,99    ,25.9  ,N/A  ,0.011   ,0.001   ,0.002   ,0.010   ,0.014   ,0.40    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,2200,1.6   ,263   ,25.5  ,N/A  ,0.024   ,0.009   ,0.002   ,0.016   ,0.006   ,0.61    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,2300,2.5   ,316   ,25.1  ,N/A  ,0.033   ,0.018   ,0.001   ,0.015   ,0.002   ,0.76    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000102,2400,3.0   ,301   ,25.2  ,N/A  ,0.024   ,0.015   ,0.002   ,0.010   ,0.002   ,0.61    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0100,3.0   ,313   ,25.1  ,N/A  ,0.016   ,0.008   ,0.001   ,0.008   ,0.003   ,0.44    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0200,2.9   ,308   ,24.8  ,N/A  ,0.007   ,0.004   ,0.000   ,0.003   ,0.006   ,0.17    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0300,4.3   ,346   ,24.8  ,N/A  ,0.007   ,0.002   ,0.001   ,0.005   ,0.006   ,0.24    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0400,4.4   ,354   ,24.7  ,N/A  ,0.007   ,0.002   ,0.001   ,0.005   ,0.008   ,0.22    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0500,4.8   ,359   ,24.3  ,N/A  ,0.004   ,0.002   ,0.001   ,0.002   ,0.008   ,0.18    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0600,6.2   ,348   ,24.1  ,N/A  ,0.005   ,0.004   ,0.001   ,0.001   ,0.008   ,0.09    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0700,3.9   ,342   ,23.5  ,N/A  ,0.009   ,0.006   ,0.001   ,0.003   ,0.005   ,0.18    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0800,3.1   ,322   ,23.4  ,N/A  ,0.033   ,0.027   ,0.001   ,0.005   ,0.002   ,0.80    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,0900,4.2   ,341   ,24.6  ,N/A  ,0.065   ,0.058   ,CAL     ,0.008   ,0.002   ,1.49    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1000,5.2   ,23    ,27.2  ,N/A  ,0.018   ,0.010   ,0.001   ,0.008   ,0.007   ,CAL     ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1100,6.0   ,9     ,28.3  ,N/A  ,CAL     ,CAL     ,0.002   ,CAL     ,0.015   ,0.66    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1200,3.5   ,53    ,30.4  ,N/A  ,0.019   ,0.005   ,0.002   ,0.014   ,CAL     ,0.59    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1300,3.7   ,47    ,31.9  ,N/A  ,0.014   ,0.005   ,0.003   ,0.009   ,0.040   ,0.39    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1400,6.0   ,82    ,28.6  ,N/A  ,0.020   ,0.004   ,0.012   ,0.016   ,0.047   ,0.48    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1500,8.8   ,210   ,28.3  ,N/A  ,0.018   ,0.006   ,0.010   ,0.012   ,0.044   ,0.38    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1600,9.6   ,189   ,29.6  ,N/A  ,0.014   ,0.005   ,0.007   ,0.009   ,0.040   ,0.27    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1700,8.9   ,206   ,31.2  ,N/A  ,0.010   ,0.005   ,0.003   ,0.005   ,0.029   ,0.17    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1800,6.5   ,207   ,29.2  ,N/A  ,0.016   ,0.006   ,0.002   ,0.010   ,0.022   ,0.35    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,1900,8.0   ,25    ,25.9  ,N/A  ,0.021   ,0.007   ,0.004   ,0.014   ,0.013   ,0.49    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,2000,3.4   ,314   ,24.0  ,N/A  ,0.033   ,0.016   ,0.002   ,0.016   ,0.005   ,0.65    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,2100,2.9   ,312   ,24.1  ,N/A  ,0.034   ,0.022   ,0.001   ,0.011   ,0.002   ,0.89    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,2200,3.2   ,322   ,24.2  ,N/A  ,0.036   ,0.027   ,0.001   ,0.008   ,0.001   ,0.83    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,2300,4.3   ,350   ,24.3  ,N/A  ,0.034   ,0.024   ,0.001   ,0.009   ,0.002   ,0.78    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000103,2400,3.8   ,327   ,24.3  ,N/A  ,0.030   ,0.023   ,0.001   ,0.006   ,0.001   ,0.64    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0100,3.5   ,320   ,24.1  ,N/A  ,0.018   ,0.013   ,0.001   ,0.004   ,0.001   ,0.43    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0200,3.2   ,319   ,24.1  ,N/A  ,0.011   ,0.007   ,0.001   ,0.004   ,0.002   ,0.24    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0300,3.6   ,322   ,23.9  ,N/A  ,0.005   ,0.003   ,0.000   ,0.002   ,0.003   ,0.07    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0400,3.0   ,337   ,23.6  ,N/A  ,0.004   ,0.002   ,0.001   ,0.002   ,0.004   ,0.07    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0500,2.9   ,311   ,23.5  ,N/A  ,0.002   ,0.001   ,0.000   ,0.001   ,0.005   ,0.07    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0600,2.9   ,341   ,23.4  ,N/A  ,0.006   ,0.004   ,0.001   ,0.002   ,0.004   ,0.16    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0700,2.8   ,312   ,23.0  ,N/A  ,0.015   ,0.011   ,0.001   ,0.003   ,0.002   ,0.31    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0800,1.7   ,309   ,22.8  ,N/A  ,0.031   ,0.024   ,CAL     ,0.006   ,0.001   ,0.70    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,0900,2.5   ,22    ,24.5  ,N/A  ,0.058   ,0.049   ,0.002   ,0.009   ,0.002   ,CAL     ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1000,6.9   ,28    ,27.2  ,N/A  ,CAL     ,CAL     ,0.001   ,CAL     ,0.007   ,0.64    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1100,7.0   ,22    ,29.1  ,N/A  ,0.010   ,0.004   ,0.001   ,0.006   ,CAL     ,0.32    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1200,6.1   ,48    ,31.2  ,N/A  ,0.014   ,0.005   ,0.002   ,0.009   ,0.029   ,0.42    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1300,5.3   ,84    ,30.9  ,N/A  ,0.021   ,0.006   ,0.059   ,0.015   ,0.035   ,0.32    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1400,5.2   ,137   ,32.0  ,N/A  ,0.017   ,0.006   ,0.034   ,0.011   ,0.051   ,0.31    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1500,5.3   ,150   ,31.2  ,N/A  ,0.014   ,0.005   ,0.017   ,0.009   ,0.053   ,0.30    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1600,8.1   ,91    ,29.2  ,N/A  ,0.012   ,0.004   ,0.008   ,0.008   ,0.030   ,0.28    ,N/A     
,CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20000104,1700,5.6   ,157   ,24.5  ,N/A  ,0.024   ,0.009   ,0.002   ,0.015   ,0.008   ,0.50    ,N/A     
