Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,Nox_hourly_avg,No_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0100,5.0   ,360   ,24.6  ,N/A  ,0.036   ,0.021   ,0.004   ,0.015   ,0.001   ,1.30    ,21      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0200,4.1   ,357   ,24.6  ,N/A  ,0.037   ,0.023   ,0.003   ,0.014   ,0.001   ,1.18    ,25      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0300,4.8   ,352   ,24.1  ,N/A  ,0.030   ,0.018   ,0.003   ,0.012   ,0.001   ,1.16    ,18      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0400,4.6   ,341   ,23.7  ,N/A  ,0.017   ,0.007   ,0.003   ,0.010   ,0.002   ,0.78    ,23      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0500,3.1   ,337   ,23.3  ,N/A  ,0.015   ,0.008   ,0.002   ,0.007   ,0.002   ,0.66    ,18      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0600,5.5   ,5     ,23.0  ,N/A  ,0.012   ,0.005   ,0.003   ,0.006   ,0.004   ,0.57    ,19      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0700,3.6   ,357   ,23.1  ,N/A  ,0.010   ,0.003   ,0.003   ,0.006   ,0.005   ,0.51    ,14      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0800,2.0   ,286   ,22.4  ,N/A  ,0.027   ,0.019   ,0.003   ,0.008   ,0.002   ,0.78    ,19      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,0900,5.5   ,0     ,24.7  ,N/A  ,0.019   ,0.011   ,0.003   ,0.008   ,0.007   ,0.75    ,13      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,1000,8.5   ,16    ,28.7  ,N/A  ,0.011   ,0.004   ,0.003   ,0.007   ,0.016   ,0.61    ,12      
CA0038,"Universiti Sains Malaysia, Pulau Pinang                                                             ",20010101,1100,7.3   ,10    ,31.8  ,N/A  ,0.014   ,0.004   ,0.004   ,0.010   ,0.032   ,0.75    ,17      
